,kernel,C,gamma,epsilon,MAE,MAPE,RMSE,R2
247,rbf,100.0,100,0.01,116.92839941518558,61.053534820489105,126.74039396314964,-5.628159924124115
246,rbf,100.0,100,0.001,116.92949586675924,61.05413946806741,126.74145877895695,-5.628271298231265
408,poly,10.0,0.1,0.001,119.11115952389673,62.52142062147106,127.22860351208305,-5.679322199060215
306,poly,0.01,1,0.001,119.11137118286787,62.52153222937451,127.22880730704169,-5.67934359697301
307,poly,0.01,1,0.01,119.12329292919367,62.527784668605555,127.24013470061422,-5.6805329961881545
409,poly,10.0,0.1,0.01,119.12359186916287,62.5279430299615,127.2404171074647,-5.680562650831024
244,rbf,100.0,10,10.0,117.31002918170974,61.48548627239724,127.36502500068136,-5.693653749875381
308,poly,0.01,1,0.1,119.26552980676794,62.60235646558014,127.36693261893392,-5.693854260677987
410,poly,10.0,0.1,0.1,119.26565284252685,62.602420558454575,127.36708819938202,-5.693870613956817
411,poly,10.0,0.1,1.0,119.37469625159748,62.657409598158885,127.48964560516171,-5.706759000282903
309,poly,0.01,1,1.0,119.37476226598226,62.65744438970467,127.48971880626893,-5.706766701964452
609,sigmoid,1.0,100,1.0,104.73685102785252,59.18167324871328,128.28013400624914,-5.7901861880223775
201,rbf,10.0,1,1.0,121.13177205318024,63.60127491655114,128.61310070735612,-5.825481444621238
200,rbf,10.0,1,0.1,121.34858484253215,63.714035321806925,128.82838419797477,-5.84835070563374
198,rbf,10.0,1,0.001,121.35779009582804,63.71935703626358,128.8375616016696,-5.8493264582693065
199,rbf,10.0,1,0.01,121.35857326913103,63.71990343280336,128.83820653968647,-5.849395031471474
568,sigmoid,0.1,10,10.0,121.27808528036326,63.442746294325794,129.77207379300515,-5.9490488179378636
574,sigmoid,0.1,100,10.0,121.3699385958107,63.48485494693226,129.8719139655473,-5.959745435446864
565,sigmoid,0.1,10,0.01,121.33889558328818,63.46383906156382,129.8895023999435,-5.9616306669996195
564,sigmoid,0.1,10,0.001,121.34219705153635,63.46565478963343,129.89267061316121,-5.961970281808796
566,sigmoid,0.1,10,0.1,121.35270727001803,63.47138613505119,129.90317625438595,-5.963096487304624
570,sigmoid,0.1,100,0.001,121.42751961940614,63.502762354214795,129.99084249441168,-5.972497865807581
571,sigmoid,0.1,100,0.01,121.43276571838392,63.50564111577541,129.9962064156969,-5.973073301747965
572,sigmoid,0.1,100,0.1,121.48446667756636,63.53402097890558,130.04907597297503,-5.978746363698342
567,sigmoid,0.1,10,1.0,121.53232232321173,63.57023972656085,130.07760480068686,-5.981808550629241
208,rbf,10.0,10,10.0,121.06722931954474,63.23805872115565,130.14140744655475,-5.988659339540644
226,rbf,100.0,0.01,10.0,122.62738820175166,64.47631946135097,130.1661797569011,-5.991320163925208
573,sigmoid,0.1,100,1.0,121.75354754289229,63.68273267060388,130.30513321794777,-6.006254713913009
214,rbf,10.0,100,10.0,121.1894913166539,63.2534366217789,130.35851848535103,-6.0119967348341214
202,rbf,10.0,1,10.0,122.84496906964351,64.52230366902538,130.4294713217115,-6.019631931375692
204,rbf,10.0,10,0.001,121.48589040546516,63.51706256259869,130.5788829364365,-6.0357236207500895
205,rbf,10.0,10,0.01,121.48644034601531,63.517343700864394,130.57923951957028,-6.035762046929673
206,rbf,10.0,10,0.1,121.49402938446988,63.52125814019081,130.584817437722,-6.0363631492669825
243,rbf,100.0,10,1.0,120.99751856283855,63.49851703881999,130.612215037606,-6.039316014526804
207,rbf,10.0,10,1.0,121.56387623356397,63.55156058994665,130.63247952137908,-6.041500483583314
242,rbf,100.0,10,0.1,121.28155733095745,63.649732629584065,130.8758908763765,-6.06776620304399
241,rbf,100.0,10,0.01,121.28710395311901,63.65302389168315,130.8839678735716,-6.068638603437292
240,rbf,100.0,10,0.001,121.28759847926804,63.653313974710336,130.88483219177573,-6.068731962055546
414,poly,10.0,1,0.001,112.51327562710627,61.57223313430891,131.09839983317332,-6.091819191552286
312,poly,0.01,10,0.001,112.51845403289471,61.57533924627864,131.10835436329003,-6.0928962208378135
415,poly,10.0,1,0.01,112.526255547894,61.57785232176908,131.11380535680917,-6.09348602512996
313,poly,0.01,10,0.01,112.53157397740688,61.58106674976725,131.12399651795988,-6.094588787245713
168,rbf,1.0,10,0.001,122.1851385776054,63.80684918758307,131.24863328883342,-6.108082379728096
169,rbf,1.0,10,0.01,122.18771309863048,63.8082575718045,131.25107681559385,-6.108347052216594
416,poly,10.0,1,0.1,112.65820711769061,61.635534753013445,131.27427212683017,-6.110859715662379
170,rbf,1.0,10,0.1,122.21795586236667,63.82479583831744,131.27986437598076,-6.111465570039854
314,poly,0.01,10,0.1,112.66271243860047,61.63822236224511,131.2800188228611,-6.111482302907812
558,sigmoid,0.1,1,0.001,122.66956986543434,64.141489353343,131.2901286336949,-6.112577648716005
559,sigmoid,0.1,1,0.01,122.6813340013706,64.1480367233452,131.3015271951751,-6.113812725165792
210,rbf,10.0,100,0.001,122.22467744077753,63.869679891746536,131.38748911288837,-6.123130471493412
211,rbf,10.0,100,0.01,122.22499772856,63.869857291474084,131.3878283240373,-6.1231672519876055
212,rbf,10.0,100,0.1,122.22844981389298,63.871196783171925,131.39113124789114,-6.123525391322956
213,rbf,10.0,100,1.0,122.28357628036156,63.89483981131306,131.44221399539907,-6.129065491063373
560,sigmoid,0.1,1,0.1,122.8285824039957,64.22943507470245,131.4456159254098,-6.129434518561505
255,poly,0.001,0.001,1.0,122.39928059105588,63.87926468519648,131.474456597312,-6.132563420773818
291,poly,0.01,0.001,1.0,122.39928073070334,63.879264763204226,131.47445672551163,-6.132563434683623
327,poly,0.1,0.001,1.0,122.39928212717754,63.87926554328135,131.4744580075075,-6.13256357378162
261,poly,0.001,0.01,1.0,122.3992960919192,63.8792733440524,131.47447082746686,-6.1325649647617535
363,poly,1.0,0.001,1.0,122.3992960919192,63.879273344052415,131.4744708274669,-6.132564964761756
297,poly,0.01,0.01,1.0,122.39943573933563,63.87935135176289,131.4745990271839,-6.132578874583947
399,poly,10.0,0.001,1.0,122.39943573933627,63.87935135176326,131.47459902718452,-6.132578874584014
471,sigmoid,0.001,0.001,1.0,122.39970195334925,63.87950198595122,131.4748452113546,-6.132605585898102
39,rbf,0.001,0.001,1.0,122.40011217460344,63.879733034430075,131.47522352123477,-6.1326466331272105
69,rbf,0.001,100,1.0,122.40042642648106,63.87990785592726,131.47557305819072,-6.1326845585528424
333,poly,0.1,0.01,1.0,122.40083221350005,63.88013142886796,131.4758810366936,-6.132717974890704
435,poly,100.0,0.001,1.0,122.40083221350645,63.880131428871515,131.47588103669983,-6.132717974891379
63,rbf,0.001,10,1.0,122.40168811737995,63.88065232641706,131.47676047475343,-6.132813396265132
477,sigmoid,0.001,0.01,1.0,122.4034894184805,63.88163501192056,131.47833836768834,-6.132984603455813
507,sigmoid,0.01,0.001,1.0,122.40349435363703,63.88163777075152,131.47834288780038,-6.132985093907556
45,rbf,0.001,0.01,1.0,122.40666990618314,63.8834282595505,131.48126846153602,-6.133302534872519
75,rbf,0.01,0.001,1.0,122.40759656617882,63.88394825554005,131.48212604994086,-6.133395589306267
105,rbf,0.01,100,1.0,122.41119755578579,63.88595045543588,131.48606572391287,-6.13382307971605
369,poly,1.0,0.01,1.0,122.41479695514428,63.88793219991863,131.48870236557525,-6.134109186439662
