"","date","cnt"
"726","2019-06-17",226
"727","2019-06-18",126
"728","2019-06-19",215
"729","2019-06-20",227
"730","2019-06-21",266
"731","2019-06-22",234
"732","2019-06-23",235
"733","2019-06-24",251
"734","2019-06-25",259
"735","2019-06-26",258
"736","2019-06-27",213
"737","2019-06-28",205
"738","2019-06-29",146
"739","2019-06-30",208
"740","2019-07-01",271
"741","2019-07-02",246
"742","2019-07-03",243
"743","2019-07-04",253
"744","2019-07-05",231
"745","2019-07-06",194
"746","2019-07-07",216
"747","2019-07-08",234
"748","2019-07-09",257
"749","2019-07-10",118
"750","2019-07-11",190
"751","2019-07-12",252
"752","2019-07-13",206
"753","2019-07-14",189
"754","2019-07-15",158
"755","2019-07-16",228
"756","2019-07-17",248
"757","2019-07-18",235
"758","2019-07-19",215
"759","2019-07-20",142
"760","2019-07-21",131
"761","2019-07-22",242
"762","2019-07-23",203
"763","2019-07-24",173
"764","2019-07-25",122
"765","2019-07-26",96
"766","2019-07-27",151
"767","2019-07-28",95
"768","2019-07-29",216
"769","2019-07-30",197
"770","2019-07-31",81
"771","2019-08-01",164
"772","2019-08-02",188
"773","2019-08-03",212
"774","2019-08-04",236
"775","2019-08-05",190
"776","2019-08-06",170
"777","2019-08-07",140
"778","2019-08-08",188
"779","2019-08-09",186
"780","2019-08-10",152
"781","2019-08-11",126
"782","2019-08-12",84
"783","2019-08-13",187
"784","2019-08-14",171
"785","2019-08-15",129
"786","2019-08-16",199
"787","2019-08-17",192
"788","2019-08-18",192
"789","2019-08-19",201
"790","2019-08-20",223
"791","2019-08-21",169
"792","2019-08-22",187
"793","2019-08-23",223
"794","2019-08-24",216
"795","2019-08-25",238
"796","2019-08-26",241
"797","2019-08-27",204
"798","2019-08-28",185
"799","2019-08-29",166
"800","2019-08-30",239
"801","2019-08-31",227
"802","2019-09-01",271
"803","2019-09-02",282
"804","2019-09-03",255
"805","2019-09-04",187
"806","2019-09-05",119
"807","2019-09-06",129.333333333333
"808","2019-09-07",139.666666666667
"809","2019-09-08",150
"810","2019-09-09",200
"811","2019-09-10",214
"812","2019-09-11",228
"813","2019-09-12",190.666666666667
"814","2019-09-13",153.333333333333
"815","2019-09-14",116
"816","2019-09-15",201
"817","2019-09-16",286
"818","2019-09-17",288
"819","2019-09-18",286
"820","2019-09-19",249
"821","2019-09-20",273
"822","2019-09-21",260
"823","2019-09-22",127
"824","2019-09-23",274
"825","2019-09-24",232
"826","2019-09-25",245
"827","2019-09-26",257
"828","2019-09-27",270
"829","2019-09-28",260
"830","2019-09-29",254
"831","2019-09-30",223
"832","2019-10-01",264
"833","2019-10-02",243.5
"834","2019-10-03",223
"835","2019-10-04",275
"836","2019-10-05",209
"837","2019-10-06",210
"838","2019-10-07",228
"839","2019-10-08",246
"840","2019-10-09",211
"841","2019-10-10",269
"842","2019-10-11",260
"843","2019-10-12",223
"844","2019-10-13",230
"845","2019-10-14",239
"846","2019-10-15",230
"847","2019-10-16",243
"848","2019-10-17",259
"849","2019-10-18",232
"850","2019-10-19",261
"851","2019-10-20",229
"852","2019-10-21",235
"853","2019-10-22",242
"854","2019-10-23",251
"855","2019-10-24",253
"856","2019-10-25",253
"857","2019-10-26",202
"858","2019-10-27",179
"859","2019-10-28",198
"860","2019-10-29",215
"861","2019-10-30",243
"862","2019-10-31",272
"863","2019-11-01",273
"864","2019-11-02",230
"865","2019-11-03",217
"866","2019-11-04",278
"867","2019-11-05",260
"868","2019-11-06",263
"869","2019-11-07",239
"870","2019-11-08",231
"871","2019-11-09",213
"872","2019-11-10",125
"873","2019-11-11",219
"874","2019-11-12",218
"875","2019-11-13",119
"876","2019-11-14",145
"877","2019-11-15",66
"878","2019-11-16",149
"879","2019-11-17",138.5
"880","2019-11-18",128
"881","2019-11-19",133
"882","2019-11-20",124
"883","2019-11-21",159
"884","2019-11-22",179
"885","2019-11-23",153
"886","2019-11-24",107
"887","2019-11-25",157
"888","2019-11-26",181
"889","2019-11-27",171
"890","2019-11-28",123
"891","2019-11-29",148
"892","2019-11-30",110
"893","2019-12-01",30
"894","2019-12-02",113
"895","2019-12-03",98
"896","2019-12-04",115
"897","2019-12-05",98
"898","2019-12-06",85
"899","2019-12-07",64
"900","2019-12-08",97
"901","2019-12-09",114
"902","2019-12-10",108
"903","2019-12-11",124
"904","2019-12-12",109
"905","2019-12-13",126
"906","2019-12-14",77
"907","2019-12-15",87
"908","2019-12-16",139
"909","2019-12-17",93
"910","2019-12-18",101
"911","2019-12-19",120
"912","2019-12-20",102
"913","2019-12-21",49
"914","2019-12-22",81
"915","2019-12-23",78
"916","2019-12-24",99
"917","2019-12-25",60
"918","2019-12-26",91
"919","2019-12-27",81
"920","2019-12-28",79
"921","2019-12-29",61
"922","2019-12-30",77
"923","2019-12-31",39
